DATES,weight,fat,calorie
2021-05-22,43.99999999999999,,1499
2021-05-23,,,1209
2021-05-24,,24.3,1255
2021-05-25,,,1118
2021-05-26,,,1539
2021-05-27,,,1313
2021-05-28,,,1225
2021-05-29,44.81818181818181,24.7,1152
2021-05-30,,,1258
2021-05-31,,24.3,1580
2021-06-01,,25.0,1132
2021-06-02,,24.6,1243
2021-06-03,,,1228
2021-06-04,,,1283
2021-06-05,,,1138
2021-06-06,,,1141
2021-06-07,44.86363636363636,24.8,1331
2021-06-08,,25.0,1245
2021-06-09,,,1582
2021-06-10,44.31818181818181,24.2,1414
2021-06-11,,23.8,1281
2021-06-12,,23.9,1264
2021-06-13,,,1624
2021-06-14,,,1377
2021-06-15,,,1268
2021-06-16,,,1423
2021-06-17,,,1287
2021-06-18,,23.8,1429
2021-06-19,45.68181818181818,,1408
2021-06-20,,24.6,1474
2021-06-21,,,1265
2021-06-22,,,1168
2021-06-23,45.45454545454545,23.7,1644
2021-06-24,45.54545454545454,24.7,1446
2021-06-25,,,1051
2021-06-26,,,0
2021-06-27,,,0
2021-06-28,,,0
2021-06-29,,,0
2021-06-30,,,0
